city,team,Team
Atlanta,Hawks,ATL
Boston,Celtics,BOS
Brooklyn,Nets,BKN
Charlotte,Hornets,CHA
Chicago,Bulls,CHI
Cleveland,Cavaliers,CLE
Dallas,Mavericks,DAL
Denver,Nuggets,DEN
Detroit,Pistons,DET
Golden State,Warriors,GS
Houston,Rockets,HOU
Indiana,Pacers,IND
LA Clippers,Clippers,LAC
LA Lakers,Lakers,LAL
Memphis,Grizzlies,MEM
Miami,Heat,MIA
Milwaukee,Bucks,MIL
Minnesota,Timberwolves,MIN
New Orleans,Pelicans,NO
New York,Knicks,NY
Oklahoma City,Thunder,OKC
Orlando,Magic,ORL
Philadelphia,Seventysixers,PHI
Phoenix,Suns,PHO
Portland,Trailblazers,POR
Sacramento,Kings,SAC
San Antonio,Spurs,SA
Toronto,Raptors,TOR
Utah,Jazz,UTA
Washington,Wizards,WAS
